symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
-1,123.8,bmw,gas,std,four,hardtop,fwd,front,104.3,179.4,65.3,52.5,4298,ohc,four,203,mpfi,3.42,2.84,10.9,120.0,5828.0,13,21,41734.0
2,199.5,volvo,gas,std,four,hatchback,fwd,front,103.5,171.6,64.1,58.0,4158,ohc,four,207,mpfi,3.27,2.74,17.3,109.0,4601.0,13,16,39419.0
1,160.4,porsche,gas,std,two,hatchback,fwd,front,103.9,180.0,67.0,51.1,4690,ohc,four,227,2bbl,2.94,3.02,7.0,150.0,5301.0,13,20,50214.0
2,164.9,mazda,gas,std,four,hatchback,fwd,front,106.2,182.5,69.4,49.0,4197,l,four,224,mpfi,3.22,3.27,7.0,130.0,5617.0,13,17,41995.0
1,86.0,nissan,diesel,std,four,hardtop,rwd,front,92.6,153.0,67.1,54.3,4193,ohc,six,263,2bbl,,3.51,21.7,160.0,4946.0,13,17,47372.0
-1,144.0,honda,gas,std,four,sedan,fwd,front,94.6,166.7,66.0,52.1,3750,ohc,four,191,2bbl,3.72,3.16,9.0,124.0,4706.0,13,20,39167.0
1,121.4,renault,diesel,std,two,wagon,rwd,front,100.3,173.9,63.9,50.0,3961,l,four,201,spdi,3.38,2.87,20.1,131.0,5422.0,13,19,38100.0
1,101.9,bmw,gas,std,four,wagon,rwd,front,99.9,169.6,67.1,53.8,4553,dohc,four,201,mpfi,3.43,3.54,12.1,132.0,5076.0,13,21,44631.0
1,107.9,nissan,gas,turbo,two,sedan,fwd,front,97.9,167.7,69.6,50.8,3934,ohc,twelve,462,2bbl,3.63,3.54,10.2,312.0,5638.0,13,17,76906.0
0,96.1,porsche,gas,std,four,hatchback,rwd,front,106.4,184.8,67.2,55.1,4663,ohc,four,210,idi,2.68,3.67,14.4,130.0,5404.0,13,18,45646.0
-1,131.8,bmw,gas,std,four,hatchback,rwd,front,94.9,164.7,69.0,53.5,4500,ohc,four,194,2bbl,3.12,3.37,9.8,108.0,4820.0,13,19,41950.0
3,,subaru,gas,std,four,wagon,fwd,front,110.9,190.3,63.0,52.7,4470,ohc,six,249,mpfi,3.43,3.69,13.2,160.0,4459.0,13,20,46789.0
0,189.9,toyota,gas,std,four,sedan,rwd,front,99.2,167.7,64.4,52.5,4092,ohcv,four,176,2bbl,3.35,2.81,17.1,109.0,5317.0,13,18,36792.0
2,123.6,chevrolet,gas,std,four,wagon,fwd,front,86.3,149.6,64.8,48.9,3832,ohc,twelve,461,mpfi,3.57,3.62,9.0,286.0,5275.0,13,19,73922.0
1,,audi,diesel,std,four,sedan,rwd,front,120.2,202.0,65.9,54.7,4783,ohcv,five,255,mpfi,3.52,,23.8,173.0,5425.0,13,19,51793.0
2,93.2,alfa-romero,gas,std,four,hardtop,rwd,front,101.3,176.2,65.8,57.2,4241,ohcv,four,172,mfi,3.59,2.7,13.4,125.0,4940.0,13,21,40061.0
1,100.2,bmw,gas,std,two,hatchback,fwd,front,93.3,156.1,68.3,58.1,4371,dohc,six,275,mpfi,3.07,3.71,7.0,180.0,4893.0,13,22,53753.0
2,133.9,honda,gas,std,two,hatchback,rwd,front,97.1,164.3,70.1,53.2,3957,ohc,four,178,mpfi,3.33,3.34,16.3,114.0,3936.0,13,19,35421.0
-1,106.9,nissan,gas,std,two,hatchback,fwd,front,94.5,162.9,63.5,54.0,3796,ohc,four,195,idi,2.85,3.85,7.0,139.0,5636.0,13,17,38228.0
0,102.9,porsche,gas,std,two,sedan,fwd,front,96.1,156.3,68.6,54.9,4436,ohc,four,193,mpfi,3.13,3.53,8.9,114.0,6102.0,13,20,40094.0
2,69.9,volkswagen,gas,turbo,two,sedan,4wd,front,95.4,159.6,70.4,55.8,3716,ohc,four,182,mpfi,3.86,3.36,11.4,135.0,5486.0,13,18,40916.0
0,116.7,alfa-romero,gas,std,four,wagon,rwd,front,97.2,163.2,64.4,53.6,4124,ohc,four,199,mpfi,3.19,3.34,9.8,103.0,,13,20,38209.0
1,91.2,honda,gas,std,four,wagon,rwd,front,90.1,152.2,64.5,55.4,3867,ohc,four,164,2bbl,2.88,3.43,11.1,125.0,5549.0,13,21,34720.0
1,139.2,renault,gas,std,two,hatchback,rwd,front,107.5,184.9,65.1,53.1,4035,ohc,four,228,mpfi,3.26,3.08,10.6,146.0,5098.0,13,18,42835.0
0,178.3,volvo,gas,std,four,hatchback,rwd,front,105.0,177.9,68.1,54.3,4243,ohc,eight,340,2bbl,3.45,3.33,10.2,203.0,5972.0,13,20,57223.0
0,,dodge,gas,std,four,hardtop,rwd,front,95.5,158.3,68.8,50.6,4076,ohcv,eight,336,2bbl,3.08,3.45,9.2,,5761.0,13,19,55314.0
3,144.1,chevrolet,gas,std,four,wagon,fwd,front,97.7,168.3,68.7,50.9,3960,ohc,four,206,2bbl,3.41,,7.0,128.0,5308.0,13,20,39978.0
0,138.0,saab,gas,turbo,four,hatchback,fwd,front,107.2,184.9,65.3,56.1,4230,l,four,224,mpfi,3.43,3.41,12.4,154.0,5447.0,13,20,46282.0
3,170.1,jaguar,gas,std,two,wagon,rwd,front,100.9,180.1,68.4,54.8,4706,ohc,four,178,2bbl,3.54,3.15,12.4,112.0,5769.0,13,20,39927.0
2,125.1,toyota,gas,std,two,sedan,fwd,front,101.0,176.7,68.4,52.8,4152,ohc,four,199,2bbl,3.32,3.44,9.7,126.0,4596.0,13,17,41687.0
1,83.6,mazda,gas,std,four,sedan,fwd,front,115.2,200.5,64.3,53.6,4326,ohc,four,194,mpfi,3.54,3.04,7.0,99.0,4342.0,13,17,31733.0
-1,,subaru,gas,std,four,hatchback,rwd,front,98.7,166.4,66.6,51.9,4093,ohc,four,204,2bbl,3.21,3.31,9.7,116.0,5160.0,13,17,39536.0
1,,volkswagen,gas,turbo,four,sedan,rwd,front,94.2,151.8,65.7,55.0,4001,l,four,195,mpfi,3.08,2.91,14.8,152.0,4813.0,13,18,38824.0
2,157.5,audi,gas,std,four,sedan,rwd,front,102.8,179.6,67.1,56.3,4422,ohc,four,179,mpfi,3.53,3.44,11.3,107.0,4722.0,13,20,38422.0
-1,150.8,mercedes-benz,gas,std,two,wagon,4wd,front,85.0,142.6,67.6,52.8,4293,ohc,four,199,mpfi,3.24,3.21,9.1,150.0,4005.0,13,19,47337.0
-1,,porsche,gas,std,four,wagon,fwd,front,106.0,177.4,65.5,49.5,4743,ohc,four,194,2bbl,3.17,3.31,12.6,108.0,4852.0,13,25,45848.0
2,185.4,plymouth,gas,turbo,four,hatchback,rwd,front,82.6,140.7,67.9,53.1,3823,ohc,four,184,spdi,3.24,3.65,7.4,148.0,5159.0,13,16,39475.0
1,127.6,mitsubishi,gas,std,two,hardtop,fwd,front,103.9,176.9,65.7,53.8,4208,ohc,six,251,mpfi,3.86,3.07,8.3,155.0,5159.0,13,19,41530.0
1,134.9,dodge,gas,std,two,wagon,4wd,front,107.3,182.2,68.1,52.1,4095,ohc,four,157,2bbl,2.8,2.91,7.6,78.0,4758.0,13,17,31126.0
0,124.8,audi,gas,std,two,sedan,fwd,front,96.2,165.5,66.7,53.2,4603,ohc,four,224,mpfi,3.16,3.09,9.3,120.0,5423.0,13,20,43875.0
0,139.9,mitsubishi,diesel,std,two,wagon,rwd,front,91.6,153.4,65.7,55.9,3993,ohc,four,180,2bbl,3.16,3.17,21.9,107.0,5238.0,13,19,32886.0
2,,volvo,gas,std,four,sedan,fwd,front,97.0,158.6,67.1,53.8,4195,ohc,four,209,2bbl,3.19,3.23,7.7,135.0,5303.0,13,21,41928.0
0,105.3,renault,gas,std,two,hatchback,fwd,front,90.6,160.3,69.3,54.5,4198,ohc,four,177,mpfi,3.47,3.14,8.0,113.0,4289.0,13,17,35980.0
0,,dodge,gas,std,two,hatchback,fwd,front,105.3,177.8,66.3,49.3,4277,ohc,four,153,2bbl,3.09,3.05,11.9,98.0,4881.0,13,19,31556.0
2,104.0,volkswagen,gas,std,two,sedan,rwd,front,95.2,164.4,67.9,56.4,3911,dohc,four,164,idi,2.94,3.39,11.2,105.0,4878.0,13,16,32625.0
2,83.9,alfa-romero,gas,std,two,sedan,fwd,front,98.2,166.1,68.0,54.3,4009,l,four,188,mpfi,3.54,2.85,7.0,137.0,5301.0,13,17,41741.0
1,,volkswagen,gas,turbo,two,wagon,rwd,front,98.2,168.3,68.4,49.2,4251,ohc,four,189,mpfi,2.93,3.49,7.7,127.0,4563.0,13,17,36223.0
1,100.3,honda,gas,std,four,sedan,rwd,front,99.5,175.6,65.0,53.8,4014,ohc,four,188,mpfi,3.05,3.52,7.1,114.0,4977.0,13,15,38025.0
0,122.0,renault,gas,turbo,four,sedan,fwd,front,101.6,175.0,68.5,52.1,4016,dohc,four,188,spdi,3.68,2.95,7.8,129.0,6140.0,13,20,40287.0
0,142.9,jaguar,gas,std,four,hatchback,fwd,front,107.8,184.8,67.8,51.7,4801,l,six,294,mpfi,3.27,3.26,12.4,202.0,5418.0,13,19,59505.0
0,68.2,honda,gas,std,four,hatchback,fwd,front,106.9,184.9,66.7,51.5,4168,ohc,six,248,mpfi,3.44,3.41,8.3,160.0,5034.0,13,18,
2,145.2,bmw,diesel,turbo,four,wagon,fwd,front,109.0,190.2,65.6,52.1,4643,rotor,four,208,mpfi,3.77,3.32,19.2,151.0,4180.0,13,21,47724.0
